review,sentiment
"I love this product, it is amazing",1
This is the worst purchase I ever made,0
Very good quality and fast delivery,1
I am extremely happy with this item,1
Totally useless and waste of money,0
Excellent service and great experience,1
"Not good, very disappointing",0
Product is okay but not the best,0
"Absolutely fantastic, I will buy again",1
Bad quality and broken item received,0
Really satisfied with this purchase,1
"Terrible experience, never buying again",0
"Works perfectly fine, I like it",1
Poor packaging and low quality,0
Great value for money,1
"Not as expected, very bad,0",1
"Superb product, highly recommended",1
"It stopped working after one day,0",0
Happy with the product,1
Completely useless product,0
